lat,long,heading,v,dtheta,windN,windA,windT,rudder,sail
50.359879,-4.115177,1.563135,1.348925,0.012622,0.000000,2.403801,-2.158906,-0.013871,0.777544,
50.359879,-4.115179,1.564349,1.347532,0.011878,0.000000,2.404389,-2.159259,-0.012918,0.777544,
50.359879,-4.115180,1.565491,1.346162,0.011179,0.000000,2.404908,-2.159573,-0.012020,0.777544,
50.359879,-4.115182,1.566566,1.344818,0.010522,0.000000,2.405365,-2.159849,-0.011176,0.777544,
50.359879,-4.115184,1.567578,1.343501,0.009905,0.000000,2.405764,-2.160092,-0.010381,0.777544,
50.359879,-4.115186,1.568531,1.342213,0.009325,-0.000000,2.406112,-2.160304,-0.009633,0.777544,
50.359879,-4.115188,1.569428,1.340954,0.008781,0.000000,2.406412,-2.160488,-0.008928,0.777544,
50.359880,-4.115190,1.570273,1.339727,0.008269,0.000000,2.406671,-2.160647,-0.008265,0.777544,
50.359880,-4.115192,1.571068,1.338531,0.007787,0.000000,2.406890,-2.160784,-0.007640,0.777544,
50.359880,-4.115194,1.571818,1.337367,0.007335,0.000000,2.407076,-2.160900,-0.007052,0.777544,
50.359880,-4.115196,1.572523,1.336236,0.006909,0.000000,2.407230,-2.160997,-0.006498,0.777544,
50.359880,-4.115197,1.573188,1.335138,0.006509,-0.000000,2.407357,-2.161077,-0.005975,0.777544,
50.359880,-4.115199,1.573815,1.334072,0.006133,-0.000000,2.407459,-2.161143,-0.005483,0.777544,
50.359880,-4.115201,1.574405,1.333040,0.005779,-0.000000,2.407538,-2.161195,-0.005020,0.777544,
50.359880,-4.115203,1.574961,1.332040,0.005446,-0.000000,2.407597,-2.161235,-0.004583,0.777544,
50.359880,-4.115205,1.575486,1.331072,0.005133,0.000000,2.407638,-2.161264,-0.004171,0.777544,
50.359880,-4.115207,1.575980,1.330137,0.004839,0.000000,2.407664,-2.161283,-0.003783,0.777544,
50.359880,-4.115209,1.576445,1.329234,0.004561,-0.000000,2.407675,-2.161294,-0.003417,0.777544,
50.359880,-4.115211,1.576885,1.328362,0.004300,-0.000000,2.407674,-2.161298,-0.003072,0.777544,
50.359880,-4.115212,1.577299,1.327521,0.004055,-0.000000,2.407663,-2.161294,-0.002747,0.777544,
50.359880,-4.115214,1.577689,1.326709,0.003823,-0.000000,2.407641,-2.161285,-0.002440,0.777544,
50.359880,-4.115216,1.578057,1.325928,0.003606,-0.000000,2.407612,-2.161271,-0.002151,0.777544,
50.359880,-4.115218,1.578405,1.325175,0.003401,-0.000000,2.407575,-2.161252,-0.001879,0.777544,
50.359880,-4.115220,1.578732,1.324451,0.003208,-0.000000,2.407533,-2.161229,-0.001621,0.777544,
50.359880,-4.115222,1.579041,1.323754,0.003026,0.000000,2.407485,-2.161203,-0.001379,0.777544,
50.359880,-4.115224,1.579332,1.323085,0.002854,-0.000000,2.407432,-2.161174,-0.001150,0.777544,
50.359880,-4.115225,1.579607,1.322441,0.002693,0.000000,2.407376,-2.161143,-0.000934,0.777544,
50.359881,-4.115227,1.579867,1.321823,0.002541,0.000000,2.407317,-2.161109,-0.000730,0.777544,
50.359881,-4.115229,1.580112,1.321229,0.002398,-0.000000,2.407255,-2.161075,-0.000538,0.777544,
50.359881,-4.115231,1.580343,1.320659,0.002263,0.000000,2.407191,-2.161038,-0.000356,0.777544,
50.359881,-4.115233,1.580561,1.320113,0.002135,0.000000,2.407126,-2.161001,-0.000185,0.777544,
50.359881,-4.115235,1.580766,1.319589,0.002015,0.000000,2.407060,-2.160963,-0.000024,0.777544,
50.359881,-4.115237,1.580961,1.319086,0.001902,0.000000,2.406993,-2.160925,0.000129,0.777544,
50.359881,-4.115238,1.581144,1.318605,0.001796,0.000000,2.406926,-2.160886,0.785398,0.000000,
50.359881,-4.115240,1.581317,1.318144,0.001695,0.000000,2.406859,-2.160847,0.785398,0.000000,
50.359881,-4.115242,1.563888,1.215821,-0.268729,0.000000,2.333372,-2.111963,0.785398,0.000000,
50.359881,-4.115244,1.535212,1.128289,-0.289413,0.000000,2.261078,-2.057298,0.785398,0.000000,
50.359881,-4.115245,1.506976,1.052551,-0.275405,0.000000,2.199852,-2.004772,0.785398,0.000000,
50.359881,-4.115247,1.480350,0.986369,-0.258869,0.000000,2.148618,-1.955189,0.785398,0.000000,
50.359881,-4.115248,1.455315,0.928040,-0.243632,-0.000000,2.105594,-1.908481,0.785398,0.000000,
50.359881,-4.115249,1.431714,0.876242,-0.229990,-0.000000,2.069273,-1.864460,0.785398,0.000000,
50.359882,-4.115250,1.409398,0.829934,-0.217778,-0.000000,2.038459,-1.822930,0.785398,0.000000,
50.359882,-4.115252,1.388234,0.788285,-0.206796,0.000000,2.012198,-1.783705,0.785398,0.000000,
50.359882,-4.115253,1.368108,0.750627,-0.196869,0.000000,1.989730,-1.746609,0.785398,0.000000,
50.359882,-4.115254,1.348924,0.716410,-0.187854,0.000000,1.970442,-1.711481,0.785398,0.000000,
50.359882,-4.115255,1.330597,0.685182,-0.179630,0.000000,1.953834,-1.678171,0.785398,0.000000,
50.359883,-4.115256,1.313054,0.656569,-0.172097,-0.000000,1.939497,-1.646544,0.785398,0.000000,
50.359883,-4.115256,1.296230,0.630254,-0.165171,-0.000000,1.927096,-1.616474,0.785398,0.000000,
50.359883,-4.115257,1.280068,0.605970,-0.158783,0.000000,1.916349,-1.587845,0.785398,0.000000,
50.359883,-4.115258,1.264519,0.583492,-0.152871,0.000000,1.907025,-1.560555,0.785398,0.000000,
50.359883,-4.115259,1.249537,0.562625,-0.147384,-0.000000,1.898927,-1.534505,0.785398,0.000000,
